Datum,Gewicht
2020-01-11,69.2
2020-01-20,68.5
2020-01-30,68.6
2020-02-08,68.9
2020-02-15,69.4
2020-02-21,70.2
2020-02-27,70.6
2020-03-07,71.8
2020-03-14,70.8
2020-03-21,71.3
2020-03-28,70.6
2020-04-04,72.0
2020-04-11,71.9
2020-04-19,72.1
2020-04-26,72.3
2020-05-03,73.0
2020-05-10,73.8
2020-05-10,73.8
2020-05-17,74.0
2020-05-24,74.3
2020-05-31,74.7
2020-05-31,74.7
2020-05-31,74.7
2020-06-07,74.8
2020-06-15,75.8
2020-06-15,75.8
2020-06-21,76.1
2020-06-21,76.1
2020-06-28,75.1
2020-07-05,76.4
2020-07-12,75.5
